URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
105387,Manchester,352,2001,3522001,Abbott Community Primary School,Livesey Street,Collyhurst,,Manchester,M40 7PR,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105389,Manchester,352,2006,3522006,Alma Park Primary School,Errwood Road,Levenshulme,,Manchester,M19 2PF,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105397,Manchester,352,2039,3522039,Bowker Vale Primary School,Middleton Road,Higher Crumpsall,,Manchester,M8 4NB,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105401,Manchester,352,2048,3522048,Acacias Community Primary School,Alexandra Drive,Burnage,,Manchester,M19 2WW,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Non-selective
105403,Manchester,352,2057,3522057,Cavendish Primary School,Cavendish Road,West Didsbury,,Manchester,M20 1JG,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105404,Manchester,352,2058,3522058,Chapel Street Community Primary School,Chapel Street,Levenshulme,,Manchester,M19 3GH,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105405,Manchester,352,2060,3522060,Charlestown Community Primary School,Pilkington Road,Blackley,,Manchester,M9 7BX,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105408,Manchester,352,2068,3522068,Claremont Primary School,Claremont Road,Moss Side,Claremont Primary School,Manchester,M14 7NA,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105413,Manchester,352,2076,3522076,Crowcroft Park Primary School,Stovell Avenue,,,Manchester,M12 5SY,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105422,Manchester,352,2129,3522129,Heald Place Primary School,Heald Place,Rusholme,Heald Place Primary School,Manchester,M14 7PN,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105426,Manchester,352,2161,3522161,Mauldeth Road Primary School,Mauldeth Road,Withington,,Manchester,M14 6SG,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105427,Manchester,352,2164,3522164,Moston Fields Primary School,Brookside Road,Moston,,Manchester,M40 9GJ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105428,Manchester,352,2165,3522165,Moston Lane Community Primary School,Moston Lane,Moston,,Manchester,M9 4HH,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105432,Manchester,352,2184,3522184,New Moston Primary School,Moston Lane East,New Moston,,Manchester,M40 3QJ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105434,Manchester,352,2186,3522186,Northenden Community School,Bazley Road,Northenden,,Manchester,M22 4FL,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105443,Manchester,352,2216,3522216,Plymouth Grove Primary School,Plymouth Grove West,Chorlton-on-Medlock,Plymouth Grove Primary School,Ardwick,M13 0AQ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105448,Manchester,352,2232,3522232,Rack House Primary School,Yarmouth Drive,Northern Moor,Wythenshawe,Manchester,M23 0BT,Open,,,Maintained school,Community school,1,0,0,2,11,Mixed,Does not apply,Not applicable
105449,Manchester,352,2234,3522234,Ravensbury Community School,Tartan Street,Clayton,,Manchester,M11 4EG,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105452,Manchester,352,2249,3522249,Irk Valley Community School,Waterloo Street,Lower Crumpsall,,Manchester,M8 5XH,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105459,Manchester,352,2278,3522278,Varna Community Primary School,Chisholm Street,Openshaw,,Manchester,M11 2LE,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105461,Manchester,352,2288,3522288,Cheetwood Primary School,Waterloo Road,Cheetham,,Manchester,M8 8EJ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105465,Manchester,352,2296,3522296,Crab Lane Primary School,Crab Lane,Higher Blackley,,Manchester,M9 8NB,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105467,Manchester,352,2298,3522298,Broad Oak Primary School,Broad Oak Lane,East Didsbury,,Manchester,M20 5QB,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105468,Manchester,352,2300,3522300,Peel Hall Primary School,Ashurst Road,Wythenshawe,,Manchester,M22 5AU,Closed,,31-08-2024,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105469,Manchester,352,2301,3522301,Sandilands Primary School,Wendover Road,Wythenshawe,,Manchester,M23 9JX,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105470,Manchester,352,2302,3522302,Pike Fold Primary School,Old Market Street,Blackley,,Manchester,M9 8QP,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105471,Manchester,352,2303,3522303,Higher Openshaw Community School,Saunton Road,Higher Openshaw,,Manchester,M11 1AJ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105472,Manchester,352,2305,3522305,Manley Park Primary School,College Road,Whalley Range,,Manchester,M16 0AA,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105480,Manchester,352,2321,3522321,All Saints Primary School,Belle Vue Street,Gorton,,Manchester,M12 5PW,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
