description,address_full,agent_name,bathrooms,bedrooms,council_tax_band,price,price_per_sqft,property_type,receptions,size_sqft,status,tenure,listing_title,lat,lon,postcode,town_city,county,address,bedrooms_int,bathrooms_int,receptions_int,price_num,price_per_sqft_num,size_sqft_num
"Spacious Three Bedroom Period Property Located in the Popular Irlam o' th' Heights Bay-Fronted Lounge and a Spacious Dining Room Fitted Kitchen and a Three-Piece Bathroom Three Well-Proportioned Bedrooms Low-Maintenance Courtyard Gardens to the Front and Rear Within Easy Access of Local Schooling and Several Well-Kept Parks Close to Excellent Transport Links into Salford Quays, Media City and Manchester City Centre Viewing is Highly Recommended! Take A look at this spacious three bedroom period terraced property! Located in the popular Irlam o’ th’ Heights - Could this be Your Next Move? Located in the popular Irlam o’th’ Height area, the property is within easy access of amenities, local schooling and several well-kept parks, including Buile Hill Park, Oakwood Park and Light Oaks Park. It is also close to excellent transport links throughout Manchester, including into Salford Quays, Media City and Manchester City Centre. As you enter the property you go into a welcoming entrance hallway, which flows through to the spacious dining room and the bay-fronted lounge. Towards the rear of the property you will find the fitted kitchen. Upstairs, there are three well-proportioned bedrooms and a three-piece family bathroom. Externally, to the front and rear there are low-maintenance courtyard gardens. Properties of this style are incredibly popular, get in touch to secure your viewing today! EPC Rating: D Lounge (4.45m x 3.73m) Dining Room (4.17m x 3.96m) Kitchen (2.92m x 2.24m) Bedroom One (4.17m x 3.20m) Bedroom Two (4.34m x 2.95m) Bedroom Three (2.64m x 1.85m) Bathroom (2.97m x 2.31m) Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","New Barton Street, Salford M6",Hills,1.0,3,A,220000,211.0,terraced,2.0,1044.0,Just added,freehold,"3 bed terraced house for sale New Barton Street, Salford M6",53.500113,-2.312317,M6 7WW,Salford,Salford,"New Barton Street, Salford, M6 7WW, United Kingdom",3,1,2,220000.0,211.0,1044.0
"Prestigious, Modern Four Bedroom Detached Property Coming To The Market chain free! Located on the Popular Castle Irwell Development Spacious family lounge Bright and Airy Kitchen Diner with Modern Units and Patio Doors to the Rear Four Generously-Sized Bedrooms Second Bedroom Benefits from an Ensuite and a Juliette Balcony Large Main Bedroom with an Ensuite and Access to a Balcony Stylish Three-Piece Family Bathroom and a Downstairs W/C Generously-Sized Garden to the Rear Driveway for Off-Road Parking *Located on the Popular Castle Irwell Development is this Prestigious Four Bedroom Detached Property! Featuring a Generous Plot, Ensuites to Two of the Bedrooms and a Private Balcony to the Main Bedroom!* What a fantastic property, and what a stunning development! The Castle Irwell development has been thoughtfully designed, incorporating tranquil communal spaces and a children’s play area. This beautiful home would be perfect for someone who is looking to upsize to a property that is ready for them to pack their bags and move in! Situated in a convenient location, the property is within easy access of Salford Quays, Media City and Manchester City Centre. As you enter the property you head into a welcoming entrance hallway, which provides access to the downstairs W/C, the family lounge - featuring a patio door - and the modern kitchen diner, which benefits from plenty of natural light from the windows and patio doors to the rear. On the first floor, there are three generously-sized bedrooms, with an ensuite and a juliette balcony to the second bedroom. There is also a generously-sized, stylish three-piece family bathroom. On the top floor, you will find the large main bedroom, complete with an ensuite shower room and access to the balcony. Externally, there is a generously-sized garden to the rear, complete with laid-to-lawn grass and paving. There is also a driveway to the side for off-road parking. Viewing is highly recommended to appreciate what this lovely home has to offer - get in touch to secure your viewing today! EPC Rating: B Lounge / Kitchen (8.6m x 5.0m) Bedroom Two (3.13m x 2.46m) En Suite (1.97m x 1.87m) Bedroom Three (3.33m x 2.25m) Bathroom (2.5m x 2.0m) Bedroom One (5.73m x 3.99m) En Suite (2.19m x 2.05m) Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Shergar Way, Salford M6",Hills,3.0,3,D,430000,,detached,1.0,,Just added,freehold,"3 bed detached house for sale Shergar Way, Salford M6",53.499433,-2.276557,M6 6NQ,Salford,Salford,"Shergar Way, Salford, M6 6NQ, United Kingdom",3,3,1,430000.0,,
"Fixed term tenancy in place to September 2026 with 5% Net rental yield Close proximity to Salford Quays &amp; Media City Located next to Wharfside tram station 1 bedroom apartment Concierge service Rooftop terraces Complete is proud to introduce to the market this 7th floor, 1 double bedroom apartment. Centrally located within striking distance of the world-famous Manchester United fc grounds, this apartment offers beautiful city views of Manchester. The apartment boasts of floor to ceiling windows to compliment the spacious open plan living area, with a fully fitted high gloss kitchen and integrated appliances. The master bedroom is en-suite for your convenience, with both bathrooms finished to a luxurious standard. Ensuring the very best in living standards, residents at this prestigious development will enjoy concierge services, including a residents lounge featuring a juice bar, a cinema room as well as well landscaped podium green space and a communal roof top terrace to the 13th and 16th levels offering commanding views of the city and MediaCityUK. Moments away from Pomona on the existing Metrolink route, and within equal distance of the new Trafford Park route, No.1 Old Trafford is ideally situated to offer that out of the city feeling yet being so close to major commercial and leisure hubs of the city centre of Salford Quays. This is a perfect location for work, culture, leisure and downtime, let alone being a dream location for season ticket holders of the Mighty Reds! Tenure - Leasehold Length of lease (years remaining) - 246 Annual ground rent amount - £159.00 Annual service charge amount - £1,679.72 Service charge review period - Annually Council tax band - C EPC - B Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","No 1 Old Trafford, 4 Wharf End, Manchester M17",Complete Prime Residential Ltd,1.0,1,A,190000,,flat,2.0,,Just added,leasehold,"1 bed flat for sale No 1 Old Trafford, 4 Wharf End, Manchester M17",53.471419,-2.244834,O L12,Manchester,Salford,"Manchester, SLF, ENG, United Kingdom",1,1,2,190000.0,,
"Fabulous First Time Buy Located just a Short Walk to Monton Village Open Plan Lounge and Dining Space Modern Fitted Kitchen Two Double Bedrooms, Master with Fitted Wardrobes Three Piece Bathroom Suite Low Maintenance Rear Garden with Artificial Lawn Off Road Parking alongside a Garage Surrounded by a Plethora of Amenities and Excellent Transport Links Situated on a Quiet Cul De Sac This fantastic first time buy situated on a quiet cul de sac just a short walk from Monton Village, offered with a freehold title and ready to move straight in to. The ground floor boasts an entrance porch, a spacious open plan lounge and dining area with French doors opening out on to the rear garden. Whilst the modern kitchen completes the ground floor of this beautifully presented home. Heading up to the first floor, you’ll find the two double bedrooms, the master complete with floor to ceiling fitted wardrobes offering a fantastic storage solution. Whilst the second double sits over looking the front of the property, the two bedrooms divided by the three piece timeless white bathroom suite. Outside, the low maintenance rear garden with an artificial lawn benefits from the privacy of the nearby trees. Furthermore there is off road parking along with a garage that boast front and side access. With its close proximity to Monton Village, residents can enjoy easy access to a variety of trendy eateries, cafes, and shops, adding to the charm and vibrancy of the neighbourhood. Additionally, being well-connected to excellent transport links ensures smooth commutes to nearby towns and cities. Don't miss out on the opportunity to secure this fabulous first-time buy, offering a comfortable living space in a convenient location. Contact us today to arrange a viewing today. EPC Rating: D Porch (1.13m x 2.09m) Entrance Hallway (2.08m x 1.81m) Kitchen (2.36m x 2.70m) Lounge (5.26m x 3.84m) Bedroom One (3.16m x 3.27m) Bedroom Two (2.53m x 3.92m) Bathroom (2.16m x 2.05m) Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Bradgreen Road, Eccles M30",Hills,1.0,2,C,250000,430.0,terraced,1.0,581.0,Just added,freehold,"2 bed terraced house for sale Bradgreen Road, Eccles M30",51.5017564,-0.2265662,W12 8EG,London,Greater London,"Goldhawk Road, London, W12 8EG, United Kingdom",2,1,1,250000.0,430.0,581.0
"Two Bedroom Property Located on the Popular 'Chimney Pot Park' Development Within Walking Distance of Salford Quays &amp; Media City Just a Short Walk from Langworthy Tram Stop, which Provides Direct Access into Manchester City Centre Two Double Bedrooms Modern Three-Piece Bathroom Complete with a 'Sunken' Bath And A New Shower Large 21ft Lounge Diner with Sliding Doors to the Rear Modern Kitchen Diner on the Top Floor Featuring a 'Chimney' Style Lightwell Featuring an Undercroft Parking Space Garden Terrace to the Rear with Decking and Paving Ideal First Time Home or Investment *within walking distance of salford quays &amp; media city * take A look at this fantastic two bedroom property located on the popular ‘Chimney Pot Park’ Development! As you enter the property you head into a welcoming entrance hallway. In the typical ‘upside down’ layout, you will find two double bedrooms on the ground floor, with a lightwell in the main bedroom, which features a turfed floor. You will also find a modern, three-piece shower room complete with a ‘sunken’ bath and a new shower. On the first floor there is a large, 21ft lounge diner, with sliding doors to the rear that seamlessly flows to the garden terrace at the rear. This space would be ideal for entertaining. On the top floor, there is a modern fitted kitchen, complete with a ‘chimney’ style lightwell. Properties in this location are particularly popular due to the close vicinity to Salford Quays &amp; Media City, which are host to a fine array of bars, shops and restaurants. They are also just a short walk from Langworthy tram stop, which provides direct access into Manchester City Centre. It would make a great first time home or investment, get in touch to secure your viewing today! EPC Rating: B Bedroom One (3.70m x 2.53m) Bedroom Two (2.96m x 2.53m) Bathroom (1.83m x 1.49m) Lounge / Diner (7.03m x 3.69m) Kitchen (3.69m x 3.14m) Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Laburnum Street, Salford M6",Hills,1.0,2,A,200000,315.0,terraced,1.0,635.0,Just added,leasehold,"2 bed terraced house for sale Laburnum Street, Salford M6",53.48563,-2.29349,M6 5LZ,Salford,Salford,"Laburnum Street, Salford, M6 5LZ, United Kingdom",2,1,1,200000.0,315.0,635.0
"Well-Presented Detached House Three Bedrooms Excellent Fitted Kitchen Sun Room to the Rear Gardens to Front and Rear Detached Garage and Driveway For those looking for am ideal home ideal for their young family, this very well-presented three bed detached property has a great deal to offer. The lovely home has been well cared for and much loved, both internally and externally, offering a great plot. The property is situated within a most popular residential development, only a short drive from the centre of Standish’s bustling village, complete with a host of shops and amenities, whilst excellent schools at both primary and secondary level are within easy reach, as well as the convenience of the M6 motorway when one is looking to travel further afield. There is also a newly created walkway close by making the village walking distance too. The property itself, which extends to circa 1200 sq ft, has a lovely welcoming ambience and the accommodation briefly comprises an entrance hallway with its staircase to the first floor. The lounge is bathed in natural light via the large picture window to the front elevation, and leads through into the dining area which also provides access into the rear sun room. The lounge and dining area are centred around an attractive fireplace. The kitchen is fitted with an excellent range of wall and base units and includes space for all the usual appliances and also access directly into the conservatory and in turn in to the garden. To the first floor, one will discover the three bedrooms, all of which are attractively presented with the main bedroom featuring built-in wardrobes. The family bathroom is fitted with a three-piece suite comprising a WC, pedestal wash hand basin and panelled bath with shower attachment. Externally, the property has gardens to the front, and rear, with the rear featuring lawns and a flagged patio areas and lovely mature planting. The front garden offers a good sized flagged driveway leading to the detached garage which offers power and light. The front garden is bordered by lawns and planting beds. We would highly recommend an internal inspection of this lovely home. Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Chisholm Close Standish, Wigan WN6",Tracy Phillips Estates,1.0,3,D,240000,,detached,2.0,,Just added,freehold,"3 bed detached house for sale Chisholm Close Standish, Wigan WN6",53.593567,-2.685102,WN6 0QP,Wigan,Salford,"Chisholm Close, Wigan, WN6 0QP, United Kingdom",3,1,2,240000.0,,
"Spacious bay fronted mid-terrace Two generous sized bedrooms Two separate reception rooms Modern fitted kitchen with integrated appliances Utility room PVC double glazing &amp; GCH system Modern stylish family bathroom Patio garden to the rear The current vendors rent an additional piece of land for £100 per annum from the Wilton Estate to the rear of the property which they used as a driveway for x2 cars and a private rear garden Early viewing recommended Pearson Ferrier are delighted to bring to the market this spacious bay-fronted mid-terrace, ideally located within walking distance of Radcliffe Metrolink station, providing quick and convenient access to Manchester City Centre. The property offers two generous-sized bedrooms and two separate reception rooms, perfect for both relaxing and entertaining. The modern fitted kitchen comes complete with integrated appliances and is complemented by a separate utility room. Upstairs, you’ll find a modern, stylish family bathroom, while the property benefits from PVC double glazing and a gas central heating system throughout. To the rear, there is a low-maintenance patio garden. The current vendors also rent an additional piece of land from the Wilton Estate for just £100 per annum, which they have used as a driveway for two cars and as a private rear garden. With its generous space, excellent location, and added parking/garden opportunity, this home is perfect for first-time buyers. Early viewing is highly recommended. Vestibule Lounge Dining Room Kitchen Utility Room First Floor Master Bedroom Bedroom Two Family Bathroom Outside Additional Information Tenure - Leasehold Lease Start Date 14/04/1919 Lease End Date 29/09/2895 Lease Term 999 years (less 3 days) from 29 September 1896 Lease Term Remaining 870 years Ground Rent Payable - Circa £10.00 per annum plus the current vendors also rent an additional piece of land from the Wilton Estate for just £100 per annum, which they use as a driveway for two cars and as a private rear garden. Council Tax band A payable to Bury mbc. Council Tax rates amount for 2025-26 = £1609.72 EPC Rating: Await updated EPC Disclaimer All statements contained in these particulars are for indicative purposes only and are made without responsibility on the part of Pearson Ferrier and the vendors of this property and are not to be relied on as statements or representations of fact. Potential purchasers should satisfy themselves by inspection or otherwise as to the accuracy of such details contained in these particulars. Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Bolton Road, Radcliffe, Manchester M26",Pearson Ferrier,1.0,2,A,150000,155.0,terraced,2.0,969.0,Just added,leasehold,"2 bed terraced house for sale Bolton Road, Radcliffe, Manchester M26",53.56278578424902,-2.344623460870279,M26 3GP,Radcliffe,Greater Manchester,"Bolton Road, Radcliffe, M26 3GP, United Kingdom",2,1,2,150000.0,155.0,969.0
"Fantastic two bedroom terraced property coming to the market chain free! Located close to Salford Quays/Media City and excellent transport links into Manchester City Centre Gas central heated and double glazed throughout Modern fitted bathroom 21ft lounge/diner Stunning fitted kitchen Award winning Chimney Pot Park development Early viewings highly recommended Perfect for first time buyers and investors alike Sun-soaked garden terrace *within walking distance of salford quays &amp; media city * award winning chimney pot park development take A look at this fantastic two bedroom property located on the popular ‘Chimney Pot Park’ Development! As you enter the property you head into a welcoming entrance hallway. In the typical ‘upside down’ layout, you will find two double bedrooms on the ground floor, with a lightwell in the main bedroom. You will also find a modern, three-piece shower room complete with a ‘sunken’ bath. On the first floor there is a large, 21ft lounge diner, with sliding doors to the rear that seamlessly flows to the garden terrace at the rear. This space would be ideal for entertaining. On the top floor, there is a modern fitted kitchen, complete with a ‘chimney’ style lightwell. Properties in this location are particularly popular due to the close vicinity to Salford Quays &amp; Media City, which are host to a fine array of bars, shops and restaurants. They are also just a short walk from Langworthy tram stop, which provides direct access into Manchester City Centre. It would make a great first time home or investment, get in touch to secure your viewing today! EPC Rating: C Entrance Hallway (3.28m x 1.90m) Lounge/Diner (7.01m x 3.78m) Kitchen (3.65m x 2.94m) Bedroom One (3.59m x 3.22m) Bedroom Two (2.55m x 3.02m) Bathroom (1.81m x 2.11m) Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Reservoir Street, Salford M6",Hills,1.0,2,A,200000,,terraced,1.0,,Just added,leasehold,"2 bed terraced house for sale Reservoir Street, Salford M6",53.485673,-2.292342,M6 5ND,Salford,Salford,"Reservoir Street, Salford, M6 5ND, United Kingdom",2,1,1,200000.0,,
"Beautifully Presented Four bedroom Detached property With A freehold title Withing walking distance to Monton Village and Dukes Drive! Three modern bathrooms, one downstairs W.C., en-suite to master bedroom and family bathroom Stunning fitted kitchen and dining area, with a utility! Two spacious reception rooms! Tastefully decorated throughout Ideally positioned on the desirable Works development Beautiful low maintenance rear garden complete with laid-to-lawn grass, paving and a seating area! Off-road parking for multiple cars! Surrounded by Excellent Transport Links and Easily Accessible to Many Local Amenities including The Trafford Centre Introducing this beautifully presented four bedroom detached family home, located in the highly sought-after the works development and within walking distance to monton village and dukes drive! The ground floor of this property benefits from A spacious lounge which opens up to A stunning light and airy open plan kitchen and dining space with the added benefit of A utility room. Completing the ground floor is the guest W.C. For added convenience and the second reception room! The property boasts four generously sized bedrooms with the master benefitting from an en-suite and completing the first floor is the modern three piece family bathroom! Externally the property has a fantastic and low maintenance sun drenched rear garden complete with laid-to-lawn grass, paving and a seating area. This property also benefits from off road parking for multiple cars and further benefits from having a freehold title! Situated in a prime location, this home is conveniently nestled amidst an array of local amenities including the renowned Trafford Centre, catering to all your shopping desires and offering a multitude of leisure activities. Notably, this property benefits from excellent transportation links, effortlessly connecting residents to nearby towns and cities, making every-day commuting a breeze. Offering an impressive array of features, this home is an exceptional opportunity for first-time buyers or and families alike; with its desirable location, meticulous design, and close proximity to local amenities and transport links. EPC Rating: B Entrance Hallway (2.94m x 1.02m) Reception Room One (4.37m x 3.50m) Reception Room Two (4.93m x 2.46m) Kitchen Diner (6.50m x 2.97m) Utility Room (2.34m x 1.68m) Downstairs W.C. (1.65m x 0.79m) Bedroom One (4.19m x 3.50m) En Suite (2.03m x 1.95m) Bedroom Two (3.58m x 2.46m) Bedroom Three (3.22m x 2.31m) Bedroom Four (3.22m x 2.26m) Bathroom (2.26m x 2.06m) Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Cassidy Way, Eccles M30",Hills,3.0,4,D,445000,,detached,2.0,,Just added,freehold,"4 bed detached house for sale Cassidy Way, Eccles M30",53.486748,-2.229995,M4 5FP,Manchester,Salford,"Cassidy Close, Manchester, M4 5FP, United Kingdom",4,3,2,445000.0,,
"Chain free Offerd for sale by hills property auctions 4 generous bedrooms Driveway providing off-road parking for multiple cars Spacious lounge and modern kitchen &amp; dining room Modern family bathroom + downstairs W.C Well maintained private rear garden Walking distance to salford quays, media city, and A range of local amenities &amp; excellent transport links * auction ending - 2pm Friday 12th of September * call now to bid! * * chain free * offered for sale by Hills property auctions * Ideally located within walking distance of salford quays &amp; media city, this fantastic property features 4 generous bedrooms and a modern family bathroom to the first floor, whilst the spacious ground floor comprises of an a porch, entrance hallway, W.C, lounge, and modern kitchen &amp; dining room. double glazed &amp; gas central heated, the property also benefits from a well maintained private rear garden, and a driveway providing off-road parking for multiple cars. Positioned close to a wide range of local amenities &amp; excellent transport links, could this be the one for you? Call us now to book A viewing! * auction ending - 2pm Friday 12th of September * call now to bid! * Offered for sale by Hills Property Auctions. Should you view, offer, or bid on the property, your information will be shared with the Auctioneer, Hills Property Auctions. This method of auction requires both parties to complete the transaction within 56 days of the draft contract of sale being received by the buyers solicitor. This time allows buyers to purchase with mortgage finance where necessary. The buyer is required to sign a reservation agreement and make payment of a non-refundable Reservation Fee. This being 3% of the purchase price including VAT, subject to a minimum of £3,600 including VAT. The Reservation Fee is paid in addition to, and does not constitute part of the purchase price, however may be considered as part of the chargeable consideration for the property in the calculation for stamp duty liability. Buyers will be required to provide proof of how the purchase will be funded along with id for verification. This property benefits from a Buyer Information Pack which is a collection of documents &amp; information relating to the property. The documents may not tell you everything you need to know about the property, and therefore you are advised to complete your own due diligence prior to bidding. A sample copy of the Reservation Agreement and Terms &amp; Conditions of the sale are also contained within this pack. Any potential buyer may purchase a copy of the Buyer Information Pack at a cost of £99.00 including VAT. The property is subject to an undisclosed Reserve Price. Both the Reserve Price and Starting Bid may change without notice. To place a bid or for any further information please call the Auction Coordinator. EPC Rating: C Porch Complete with a ceiling light point and carpet flooring. Lounge (4.86m x 4.37m) Complete with a ceiling light point, double glazed window and wall mounted radiator. Fitted with carpet flooring. Entrance Hallway Complete with a ceiling light point and wall mounted radiator. Fitted with carpet flooring. Downtairs W.C. (1.78m x 1.13m) Featuring a two piece suite including hand wash basin and W.C. Complete with a ceiling light point and tiled flooring. Kitchen Diner (4.83m x 3.27m) Featuring complementary fitted units with space for a washing machine, dryer and freestanding oven. Complete with two ceiling light points, double glazed window and wall mounted radiator. Fitted with cushioned flooring. Landing Complete with a ceiling light point and carpet flooring. Bedroom One (4.42m x 2.41m) Complete with a ceiling light point, double glazed window and wall mounted radiator. Fitted with carpet flooring. Bedroom Two (4.42m x 2.40m) Complete with a ceiling light point, double glazed window and wall mounted radiator. Fitted with carpet flooring. Bedroom Three (3.31m x 2.00m) Complete with a ceiling light point, double glazed window and wall mounted radiator. Fitted with carpet flooring. Bedroom Four (2.81m x 2.36m) Complete with a ceiling light point, double glazed window and wall mounted radiator. Fitted with carpet flooring. Wet Room (1.94m x 1.64m) Featuring a shower, hand wash basin and W.C. Complete with a ceiling light point, tiled walls and cushioned flooring. External To the front of the property is a driveway and well presented garden. To the rear of the property is a garden with mature plants, paving and brick built storage. Garden Low maintenance private rear garden. Lawn &amp; off-road parking to the front. Parking - Driveway Driveway providing off-road parking for multiple cars. Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions.","Windmill Avenue, Salford M5",Hills,2.0,4,A,250000,,terraced,1.0,,Just added,freehold,"4 bed terraced house for sale Windmill Avenue, Salford M5",53.472483,-2.273642,M5 3NF,Salford,Salford,"Windmill Avenue, Salford, M5 3NF, United Kingdom",4,2,1,250000.0,,
